ax,ay,az,gx,gy,gz
-2.5738,-1.1037,-10.1466,-0.0861,-0.0338,-0.0096
-2.6121,-1.1349,-10.1227,-0.1071,-0.0602,-0.0226
-2.5307,-1.1205,-10.0149,-0.11,-0.0802,-0.0314
-2.5642,-1.1037,-9.9311,-0.1108,-0.0893,-0.0389
-2.5618,-1.1372,-9.9551,-0.1066,-0.0935,-0.048
-2.5762,-1.0942,-9.9647,-0.1026,-0.0994,-0.061
-2.6815,-1.0822,-10.0413,-0.1082,-0.0933,-0.0789
-2.6839,-1.063,-10.0293,-0.1108,-0.0858,-0.0914
-2.5738,-1.0271,-10.1107,-0.1154,-0.0863,-0.0911
-2.399,-1.0511,-10.1059,-0.1127,-0.0797,-0.0874
-2.2721,-1.1516,-10.2376,-0.1164,-0.0909,-0.0861
-2.0949,-1.154,-10.307,-0.1132,-0.1276,-0.0898
-1.9776,-1.1779,-10.4244,-0.1231,-0.1612,-0.0933
-1.9848,-1.1708,-10.4914,-0.1218,-0.21,-0.097
-1.9776,-1.1827,-10.4531,-0.1226,-0.2486,-0.0935
-2.0087,-1.0846,-10.4531,-0.1186,-0.2745,-0.0901
-2.1883,-1.0151,-10.4842,-0.1023,-0.2798,-0.0842
-2.3583,-0.893,-10.4962,-0.0869,-0.2822,-0.0781
-2.4421,-0.8595,-10.4627,-0.0733,-0.2542,-0.0677
-2.4636,-0.8715,-10.4866,-0.0597,-0.2081,-0.057
-2.4804,-0.8835,-10.5034,-0.0581,-0.1569,-0.0485
-2.3894,-0.8763,-10.4267,-0.0549,-0.097,-0.0392
-2.308,-0.9002,-10.3693,-0.0434,-0.0506,-0.0269
-2.1739,-0.9026,-10.3645,-0.0378,-0.0192,-0.0179
-2.059,-0.9002,-10.3262,-0.0317,-0.0027,-0.0112
-1.9489,-0.8811,-10.3717,-0.0277,-0.012,-0.0136
-1.9058,-0.9649,-10.5034,-0.025,-0.0296,-0.02
-1.8986,-0.9768,-10.5105,-0.0203,-0.0565,-0.0285
-1.8723,-1.0367,-10.6255,-0.0221,-0.093,-0.0378
-1.8579,-1.0822,-10.5177,-0.0256,-0.1279,-0.0429
-1.8459,-1.0127,-10.4148,-0.0248,-0.1484,-0.0512
-1.889,-0.9984,-10.3932,-0.0266,-0.1652,-0.0584
-1.8627,-0.9361,-10.307,-0.0306,-0.1729,-0.0717
-1.9441,-0.929,-10.2328,-0.0336,-0.1703,-0.0802
-1.9872,-0.8882,-10.2615,-0.0309,-0.1713,-0.0903
-1.8938,-0.9266,-10.3094,-0.0466,-0.1697,-0.0957
-1.901,-0.8452,-10.2472,-0.0445,-0.1601,-0.1103
-1.9848,-0.8452,-10.149,-0.0378,-0.1615,-0.1231
-2.0542,-0.8356,-10.161,-0.0365,-0.166,-0.1239
-2.1069,-0.8739,-10.1778,-0.0272,-0.1612,-0.1202
-2.1979,-0.8763,-10.2711,-0.0179,-0.1407,-0.1263
-2.2601,-0.8523,-10.3453,-0.0171,-0.1186,-0.1364
-2.2051,-0.8356,-10.4555,-0.012,-0.0957,-0.1362
-2.1907,-0.8428,-10.4914,0.0,-0.0815,-0.1354
-2.1213,-0.8523,-10.5704,0.0045,-0.0743,-0.141
-1.9776,-0.9242,-10.489,0.0088,-0.0725,-0.1484
-1.8052,-0.9577,-10.4842,0.0085,-0.0901,-0.1468
-1.6089,-1.0367,-10.4172,-0.0032,-0.1516,-0.146
-1.4772,-1.075,-10.4962,-0.0149,-0.2425,-0.1474
-1.5706,-1.0319,-10.6398,-0.0264,-0.3475,-0.1498
-1.7526,-0.9457,-10.6015,-0.0336,-0.4495,-0.1569
-1.9489,-0.8356,-10.6255,-0.0402,-0.5287,-0.1596
-2.0566,-0.8068,-10.5608,-0.0469,-0.5865,-0.1545
-2.0566,-0.8835,-10.4842,-0.0586,-0.6339,-0.1468
-1.8364,-0.9768,-10.5704,-0.0703,-0.7117,-0.1436
-1.506,-1.075,-10.4435,-0.0914,-0.8439,-0.1444
-1.3575,-1.075,-10.3406,-0.1218,-1.0245,-0.1545
-1.3719,-1.0534,-10.2615,-0.1593,-1.2364,-0.1687
-1.2977,-1.0678,-10.0054,-0.2265,-1.5159,-0.1905
