ax,ay,az,gx,gy,gz
-0.9074,-1.1971,-9.6343,1.7677,-1.7968,-1.627
-0.7709,-1.1779,-9.8019,1.7677,-1.7968,-1.627
-0.5171,-1.1205,-9.9503,1.7677,-1.7968,-1.627
-0.5171,-1.0511,-10.1394,1.7677,-1.7968,-1.627
-0.2442,-1.0367,-10.252,1.7677,-1.7968,-1.627
-0.4429,-1.1325,-10.1514,1.7677,-1.7968,-1.627
-0.5914,-1.2258,-10.0221,1.7677,-1.7968,-1.627
-0.5028,-1.3312,-9.8641,1.7677,-1.7968,-1.627
-0.2298,-1.4198,-10.003,1.7677,-1.7968,-1.627
-0.103,-1.3671,-10.0724,1.7677,-1.7968,-1.627
-0.1317,-1.2426,-10.149,1.7677,-1.7968,-1.627
-0.2203,-1.1923,-10.2544,1.7677,-1.7968,-1.627
-0.2849,-1.0918,-10.3358,1.7677,-1.7968,-1.627
-0.3232,-1.1061,-10.4459,1.7677,-1.7968,-1.627
-0.5555,-1.0367,-10.5752,1.7677,-1.7968,-1.627
-0.6847,-1.1013,-10.6039,1.7677,-1.7968,-1.627
-0.8452,-1.0439,-10.5441,1.7677,-1.7968,-1.627
-0.7853,-1.1109,-10.4531,1.7677,-1.7968,-1.627
-0.8691,-1.1564,-10.5129,1.7677,-1.7968,-1.627
-0.9002,-1.1253,-10.422,1.7677,-1.7968,-1.627
-1.0223,-1.1851,-10.3286,1.7677,-1.7968,-1.627
-0.8954,-1.2139,-10.1873,1.7677,-1.7968,-1.627
-0.7278,-1.2881,-10.2663,1.7677,-1.7968,-1.627
-0.7111,-1.2594,-10.2256,1.7677,-1.7968,-1.627
-0.6321,-1.3264,-9.9335,1.7677,-1.7968,-1.627
-0.6656,-1.2713,-9.7971,1.7677,-1.7968,-1.627
-0.7063,-1.257,-9.8665,1.7677,-1.7968,-1.627
-0.5004,-1.2426,-9.8737,1.7677,-1.7968,-1.627
-0.735,-1.2881,-10.0221,1.7677,-1.7968,-1.627
-0.6464,-1.2378,-10.0652,1.7677,-1.7968,-1.627
-0.4573,-1.3001,-10.0006,1.7677,-1.7968,-1.627
-0.4477,-1.2474,-10.2424,1.7677,-1.7968,-1.627
-0.7925,-1.1181,-10.5105,1.7674,-1.7968,-1.627
-0.9098,-0.9625,-10.5201,1.7674,-1.7968,-1.627
-0.9649,-0.9529,-10.5632,3.2138,1.3241,-5.2637
-0.7183,-1.1947,-10.6757,0.2364,-0.1252,-0.3728
-0.6009,-1.1851,-10.5824,-0.1212,-0.1897,-0.0245
-0.5746,-1.1851,-10.5225,-0.1316,-0.2377,-0.0056
-0.4693,-1.1181,-10.4507,-0.0312,0.0554,-0.02
-0.2562,-1.1899,-10.3477,-0.0328,0.0807,-0.0264
-0.2777,-1.1396,-10.2927,-0.0232,0.0837,-0.0205
