ax,ay,az,gx,gy,gz
-8.0206,-1.8986,-1.8818,-0.1815,0.3805,-0.044
-8.0852,-1.9249,-1.9656,-0.1649,0.2822,-0.0328
-8.0876,-1.8962,-2.0279,-0.1522,0.1945,-0.0218
-8.1116,-1.889,-2.047,-0.1506,0.1415,-0.016
-8.2241,-1.8962,-1.8986,-0.1442,0.0954,-0.0131
-8.4922,-1.8675,-1.81,-0.134,0.0629,-0.0157
-8.7819,-1.8914,-1.8052,-0.137,0.0173,-0.0144
-8.8466,-1.9178,-1.5395,-0.1338,-0.0256,-0.0168
-8.9591,-1.9393,-1.0894,-0.1154,-0.0037,-0.033
-9.1147,-2.0303,-0.8643,-0.0981,0.0349,-0.0496
-9.3254,-2.1213,-0.9266,-0.105,0.0703,-0.0565
-9.4739,-2.1524,-1.1085,-0.133,0.0877,-0.0456
-9.323,-2.1332,-1.403,-0.1623,0.1151,-0.0416
-9.1411,-1.992,-1.6544,-0.1625,0.1623,-0.0386
-9.1506,-1.8196,-1.9369,-0.1372,0.1998,-0.0365
-8.916,-1.7789,-2.1452,-0.1042,0.2158,-0.0341
-8.77,-1.8435,-2.2913,-0.0687,0.2094,-0.0282
-8.4707,-1.9178,-2.5355,-0.0346,0.1785,-0.0205
-8.2265,-1.9297,-2.7054,-0.008,0.129,-0.012
-8.0421,-1.9106,-2.6552,0.0053,0.0456,-0.0048
-7.932,-1.9297,-2.4995,0.0091,-0.049,-0.0027
-7.9775,-2.0255,-2.4517,0.0208,-0.1367,0.0048
-8.2672,-2.0566,-2.3032,0.0416,-0.2257,0.0123
-8.5569,-2.1308,-2.1907,0.0512,-0.3099,0.0155
-8.8873,-2.1093,-2.1763,0.045,-0.3589,0.0195
-9.1123,-2.0399,-2.0135,0.0341,-0.3491,0.0216
-9.3446,-2.0518,-1.8914,0.0429,-0.307,0.0226
-9.3661,-1.992,-1.7502,0.0541,-0.2521,0.0221
-9.3709,-2.0207,-1.5945,0.0725,-0.1988,0.0269
-9.2464,-2.0111,-1.5203,0.0858,-0.1684,0.0328
-9.1411,-1.9992,-1.4485,0.0949,-0.1396,0.0317
-9.0333,-1.9944,-1.403,0.0946,-0.1258,0.0325
-9.0142,-2.0423,-1.4174,0.0871,-0.125,0.0389
-8.9711,-1.9872,-1.5754,0.0805,-0.1428,0.0472
-8.9495,-1.9393,-1.798,0.0821,-0.1644,0.0512
-9.0333,-1.8842,-1.9632,0.1058,-0.1985,0.0472
-9.0477,-1.8771,-2.0016,0.1252,-0.2819,0.0498
-8.5593,-1.9441,-1.5874,0.1311,-0.3515,0.0602
-8.6335,-1.9345,-0.9433,0.1351,-0.376,0.064
-8.6694,-2.0231,-0.4573,0.1226,-0.4167,0.0504
-9.0118,-2.1308,-0.1987,0.1138,-0.4383,0.0208
-9.3494,-2.1787,0.4357,0.0933,-0.4844,-0.0144
-9.4858,-2.2745,0.8547,0.0618,-0.5199,-0.0624
-9.3972,-2.3607,1.3719,0.0373,-0.4724,-0.1178
-9.5026,-2.5259,1.7071,0.0203,-0.3821,-0.1924
-9.8474,-2.7126,1.8244,0.0016,-0.3842,-0.2609
-9.8857,-2.6671,1.391,-0.036,-0.5321,-0.2694
-9.5792,-2.7461,1.1756,-0.1015,-0.5574,-0.2382
-9.7348,-2.727,1.2713,-0.0967,-0.4018,-0.291
-10.1011,-2.8347,1.5371,-0.073,-0.2571,-0.3709
-9.9838,-2.9521,1.5323,-0.0586,-0.2705,-0.4237
-9.4188,-3.2034,1.0894,-0.0893,-0.3842,-0.4263
-8.6167,-3.3615,0.2227,-0.1855,-0.4437,-0.3893
-8.1762,-3.5602,-0.9864,-0.3014,-0.4671,-0.3648
-7.9368,-3.5482,-1.9249,-0.3091,-0.5628,-0.3597
-7.501,-3.4261,-2.636,-0.1708,-0.6592,-0.3501
-7.3789,-3.0358,-3.7373,0.0269,-0.7671,-0.3243
-7.4388,-2.9856,-4.4532,0.2705,-0.8308,-0.2766
-7.7548,-2.6432,-5.2601,0.5236,-0.8175,-0.1769
-8.3677,-2.32,-6.1483,0.6768,-0.7978,-0.1066
-8.3917,-1.913,-7.027,0.7957,-0.7261,-0.0522
-8.43,-1.2354,-6.9743,0.9233,-0.5516,0.0117
-8.4252,-0.7566,-7.015,0.9998,-0.3677,0.0895
-8.3917,-0.5914,-6.4907,1.0752,-0.1889,0.1636
-8.1307,-0.5962,-6.1124,1.1405,-0.0352,0.2398
-8.1618,-0.7135,-5.5067,1.1778,0.1135,0.3256
-8.3941,-0.8284,-4.5322,1.1924,0.2238,0.4231
-8.8633,-1.3503,-3.3471,1.1738,0.3301,0.5281
-9.074,-1.4676,-2.3679,1.1839,0.4029,0.6273
-9.4834,-1.7023,-0.8954,1.1967,0.4863,0.6917
-9.3494,-2.3798,-0.1796,1.2233,0.3459,0.7144
-8.248,-2.5355,0.7254,1.2239,0.0314,0.6979
-7.9511,-2.4253,0.9385,1.226,-0.4002,0.6379
-8.3055,-1.9752,0.6416,1.2143,-0.8631,0.5484
-8.8107,-1.5347,-0.407,1.1373,-1.1993,0.3946
-9.3925,-1.1995,-1.0558,1.0976,-1.3632,0.283
-9.2368,-0.905,-1.7286,1.1194,-1.3824,0.1921
-8.983,-0.8835,-1.8244,1.1447,-1.2614,0.1804
-8.8585,-0.905,-1.6664,1.1716,-1.0568,0.198
-8.6167,-0.8499,-1.2043,1.1652,-0.7973,0.2542
-8.1187,-0.9577,-0.7733,1.1008,-0.5484,0.3208
-7.7165,-0.9026,-0.2586,1.0275,-0.328,0.3608
-7.5824,-0.8787,0.2227,0.9795,-0.1623,0.3736
-8.1475,-1.0056,0.5818,0.9172,-0.012,0.4183
-8.6957,-1.0918,1.0511,0.8668,0.0893,0.4325
-8.6119,-1.3192,1.9273,0.8314,0.1356,0.4029
-8.9352,-1.5969,2.1332,0.7376,0.1183,0.3584
-9.3015,-1.7214,2.0351,0.6174,0.085,0.3107
-9.6582,-1.2594,2.0063,0.5137,0.069,0.2643
-9.8809,-1.2641,1.3838,0.4397,0.1116,0.2273
-9.8881,-1.1396,1.0822,0.3597,0.154,0.1815
-9.4978,-1.008,0.7997,0.3179,0.1833,0.1519
-9.3063,-1.0127,0.6249,0.2806,0.2142,0.1332
-9.4595,-1.1253,0.6393,0.2451,0.2657,0.1316
-9.5265,-1.1157,0.6249,0.2113,0.3581,0.1244
-9.3326,-1.1444,0.7781,0.1676,0.4479,0.1172
-8.9399,-1.2546,0.9242,0.1204,0.4927,0.1183
-8.5832,-1.3168,1.0798,0.0602,0.4546,0.114
-8.4946,-1.3479,1.2282,0.0176,0.3912,0.0991
-8.4467,-1.3934,0.9936,-0.0179,0.303,0.0754
-8.4803,-1.403,0.7518,-0.0568,0.2478,0.0522
-8.9304,-1.3767,0.5626,-0.0877,0.2425,0.0416
-9.3087,-1.391,0.4669,-0.1138,0.2558,0.0368
-9.2799,-1.3958,0.3448,-0.1503,0.2478,0.0293
-9.0357,-1.4772,0.3663,-0.1841,0.2156,0.0131
-8.8969,-1.5155,0.3352,-0.2185,0.1628,-0.0072
-8.8705,-1.4653,0.1604,-0.2462,0.0983,-0.0237
-8.849,-1.4102,-0.1365,-0.2843,-0.0019,-0.0469
-8.7771,-1.336,-0.1963,-0.3262,-0.1135,-0.0624
-8.8274,-1.3671,-0.1484,-0.3584,-0.1998,-0.0757
-8.9878,-1.4676,-0.0694,-0.3896,-0.2497,-0.0831
-9.1746,-1.5754,-0.0431,-0.413,-0.2619,-0.0863
-9.244,-1.5921,-0.0527,-0.4194,-0.2342,-0.0829
-9.2081,-1.5969,-0.1149,-0.4202,-0.1865,-0.0632
-9.3637,-1.5897,-0.3065,-0.4223,-0.1292,-0.0448
-9.3781,-1.5227,-0.4956,-0.4125,-0.0746,-0.0245
-9.4188,-1.4198,-0.7207,-0.3984,0.008,-0.0109
-9.5553,-1.4533,-1.3408,-0.3869,0.0685,0.0149
-9.7707,-1.7933,-1.7214,-0.4501,0.0416,0.0224
-9.6774,-1.9513,-0.6728,-0.5899,-0.0584,-0.0088
-9.5624,-2.0255,0.1437,-0.708,-0.1375,-0.0208
-9.821,-2.162,0.1365,-0.7498,-0.1551,-0.0269
-10.3046,-2.3774,-0.012,-0.7413,-0.2467,-0.045
-9.8761,-2.3942,1.0582,-0.736,-0.284,-0.0922
-9.3637,-2.3822,1.719,-0.6925,-0.2137,-0.1282
-9.153,-2.241,1.8244,-0.6286,-0.1479,-0.1476
-8.7915,-2.0494,1.5155,-0.5777,-0.1588,-0.1561
-8.7197,-1.8411,1.0367,-0.551,-0.1783,-0.149
-8.7197,-1.7454,0.2825,-0.5215,-0.219,-0.1383
-8.7484,-1.573,0.1867,-0.4858,-0.2531,-0.1436
-8.9136,-1.5131,-0.0239,-0.4359,-0.2334,-0.1471
-9.1435,-1.5921,-0.419,-0.3648,-0.1823,-0.1348
-9.2847,-1.6664,-0.5938,-0.291,-0.1164,-0.1228
-9.3134,-1.81,-0.8164,-0.2329,-0.0333,-0.117
-9.4212,-1.8627,-1.1133,-0.198,0.0666,-0.0978
-9.4068,-1.8699,-1.4629,-0.1537,0.166,-0.0775
-9.3565,-1.8938,-1.7741,-0.1295,0.2513,-0.0584
-9.2775,-2.0997,-1.7334,-0.1657,0.2723,-0.0592
-9.2536,-2.2242,-0.9266,-0.2478,0.2475,-0.0634
-9.4643,-2.1572,-0.2945,-0.3272,0.2427,-0.0533
-9.9862,-2.0255,0.091,-0.3576,0.2798,-0.0506
-10.4363,-2.0063,0.1341,-0.3882,0.3174,-0.0592
-10.5991,-2.0973,0.4812,-0.4511,0.3445,-0.0847
-10.4291,-2.0853,1.0199,-0.502,0.4135,-0.1175
-10.2089,-1.9776,1.0918,-0.494,0.5446,-0.1402
-10.0628,-1.9369,0.9481,-0.4695,0.6656,-0.1607
-9.6774,-1.9728,0.7901,-0.4453,0.7389,-0.1793
-9.2799,-1.9609,0.4764,-0.4298,0.7576,-0.2014
-8.9663,-1.9297,-0.2777,-0.4104,0.7466,-0.2089
-8.6263,-1.7238,-0.8763,-0.3842,0.6851,-0.1969
-8.6503,-1.6328,-1.1803,-0.3331,0.6342,-0.2102
-8.442,-1.6113,-1.6281,-0.2705,0.4978,-0.174
-8.2696,-1.6113,-1.9872,-0.2276,0.4463,-0.1487
-8.5497,-1.652,-2.4157,-0.1759,0.4367,-0.1364
-8.6,-1.731,-2.466,-0.1053,0.3762,-0.1042
-8.6191,-1.7693,-2.4014,-0.0754,0.311,-0.0759
-8.6886,-1.8914,-2.4062,-0.0799,0.2545,-0.044
-8.8274,-1.9034,-2.5642,-0.0941,0.2009,0.0069
-9.335,-2.1284,-2.5259,-0.1476,0.1045,0.0397
-9.2129,-2.2218,-1.5347,-0.2068,0.0306,0.0533
-9.3996,-2.1261,-0.3759,-0.2132,0.0938,0.069
-9.8976,-2.1117,0.6919,-0.2073,0.2158,0.0679
-10.5321,-2.2051,1.075,-0.2126,0.3126,0.0514
-10.3549,-2.2984,1.2258,-0.2745,0.3392,0.0325
-9.6558,-2.296,1.2594,-0.3624,0.4349,0.0051
-9.2823,-2.1117,1.2234,-0.4266,0.5958,-0.0509
-8.9519,-1.9178,0.8332,-0.4551,0.7072,-0.0863
-8.6311,-1.7861,0.1891,-0.4655,0.7695,-0.0845
-8.2911,-1.6544,-0.5052,-0.462,0.8013,-0.0741
-8.0373,-1.5897,-0.9744,-0.4287,0.7989,-0.0842
-7.7907,-1.549,-1.4006,-0.3608,0.7506,-0.1002
-7.6974,-1.6017,-1.7214,-0.2771,0.6688,-0.1178
-7.7285,-1.7214,-2.0446,-0.2025,0.5524,-0.1287
-7.7931,-1.7861,-2.2553,-0.149,0.401,-0.1551
-7.7357,-1.9225,-2.4157,-0.1188,0.2393,-0.1615
-7.9416,-1.9417,-2.6001,-0.0943,0.1116,-0.1537
-8.1211,-1.9225,-2.6671,-0.0826,-0.0037,-0.1202
-8.4204,-2.0063,-2.8132,-0.0711,-0.0719,-0.0997
-8.7029,-2.0423,-2.7222,-0.0693,-0.1053,-0.0829
-8.8298,-2.0016,-2.5163,-0.069,-0.0871,-0.0594
-9.0908,-1.9297,-2.3176,-0.0757,-0.0642,-0.037
-9.1913,-1.9896,-2.0997,-0.0943,-0.048,-0.0213
-9.2919,-2.0111,-2.0279,-0.1236,-0.0482,-0.0035
-9.1626,-1.9704,-1.8004,-0.1492,-0.0602,0.0168
-9.1746,-1.8364,-1.5993,-0.1548,-0.0224,0.0184
-9.4188,-1.8316,-1.5443,-0.1569,0.0192,0.0211
