ax,ay,az,gx,gy,gz
-9.165,-1.5706,-2.8826,0.0384,0.8087,0.0213
-9.232,-1.4676,-2.739,0.0298,0.8652,0.0165
-9.2201,-1.3408,-2.7773,0.0037,0.9118,0.0091
-9.2057,-1.3312,-2.6839,-0.0035,0.9723,0.0019
-9.347,-1.324,-2.6169,0.0064,1.0587,0.0003
-9.5768,-1.3527,-2.7342,0.0426,1.1708,-0.0045
-9.8258,-1.3096,-2.8874,0.0826,1.3334,-0.0059
-10.2496,-1.3934,-3.0981,0.1247,1.5625,-0.0091
-10.5489,-1.4748,-3.3686,0.1897,1.8594,-0.0029
-10.817,-1.6233,-3.7326,0.2886,2.2007,0.0088
-10.7763,-1.7047,-4.1946,0.3765,2.5215,0.0226
-10.0293,-1.9058,-4.537,0.4218,2.7803,0.0253
-8.849,-2.1548,-4.5753,0.4338,3.0393,0.0208
-8.3486,-2.162,-4.6567,0.4128,3.2394,0.0187
-8.2528,-2.0973,-4.9871,0.3501,3.2831,0.0237
-8.0158,-2.0973,-5.2241,0.2838,3.2732,0.0416
-8.406,-1.8387,-5.5881,0.2244,3.3433,0.0205
-8.5665,-1.5778,-5.6216,0.1881,3.3777,-0.0282
-8.5305,-1.3072,-5.5282,0.1527,3.5021,-0.0376
-8.6933,-1.4653,-5.2481,0.1753,3.6852,-0.0258
-8.77,-1.3384,-5.2648,0.2891,3.9047,0.0008
-8.6622,-1.3862,-5.7628,0.3768,4.1757,0.0397
-8.5545,-1.573,-6.2345,0.4684,4.5006,0.0949
-8.4563,-1.7023,-6.4643,0.5484,4.8733,0.1194
-8.327,-1.7741,-6.6104,0.5841,5.2893,0.1255
-8.327,-1.8723,-6.6894,0.5907,5.7529,0.1039
-8.0014,-1.9297,-6.5362,0.5945,6.2318,0.0882
-7.616,-2.0758,-6.28,0.6105,6.7439,0.0821
-7.4531,-2.2194,-6.122,0.6451,7.2973,0.1207
-6.754,-2.2625,-6.1555,0.6837,7.8276,0.1564
-6.1555,-2.3415,-6.0621,0.7032,8.4581,0.114
-5.9185,-2.0111,-6.0549,0.6494,8.7312,0.0967
-6.2249,-2.3272,-5.8035,0.5212,8.7312,0.0826
-5.1763,-2.32,-5.4875,0.4431,8.7312,0.016
-3.8618,-1.8076,-6.1483,0.3349,8.7312,-0.0674
-2.9161,-1.6999,-6.7325,0.1154,8.7312,-0.2388
-2.2649,-1.8507,-7.3143,-0.0935,8.7312,-0.4074
-1.9369,-2.399,-7.7285,-0.162,8.7312,-0.4218
-0.9361,-2.3272,-8.0086,-0.0719,8.7312,-0.2345
-0.2777,-1.9776,-8.1116,-0.0488,8.7312,-0.1167
